Ticker,Company Name,Market Cap Previous Month (EUR),Market Cap Latest Month (EUR),Difference (EUR),Difference (%),Previous Month Date,Latest Month Date
LEVI,LEVI,8063926846.62,9124169820.55,1060242973.93,13.15%,2024-04-30,2024-05-31
CROX,CROX,7146103595.90,8942828364.29,1796724768.38,25.14%,2024-04-30,2024-05-31
FOI-B.ST,FOI-B.ST,8810829457.92,8823525177.60,12695719.68,0.14%,2024-04-30,2024-05-31
BOOZT.ST,BOOZT.ST,7887853945.42,8536341542.94,648487597.51,8.22%,2024-04-30,2024-05-31
ANF,ANF,5990624938.18,8522048494.45,2531423556.27,42.26%,2024-04-30,2024-05-31
VIPS,VIPS,7932179382.76,8475407093.23,543227710.47,6.85%,2024-04-30,2024-05-31
GIL.TO,GIL.TO,7676136823.42,8387128540.93,710991717.51,9.26%,2024-04-30,2024-05-31
DDS,DDS,6758830421.28,6903268999.20,144438577.92,2.14%,2024-04-30,2024-05-31
ZAL.DE,ZAL.DE,6968738455.62,6852875406.99,-115863048.64,-1.66%,2024-04-30,2024-05-31
PUM.DE,PUM.DE,6123598258.18,6827640688.51,704042430.34,11.50%,2024-04-30,2024-05-31
PVH,PVH,6104309299.20,6733255137.84,628945838.64,10.30%,2024-04-30,2024-05-31
JD.L,JD.L,5681035062.41,6265847495.05,584812432.64,10.29%,2024-04-30,2024-05-31
ALPA4.SA,ALPA4.SA,6090868480.42,6226078034.09,135209553.67,2.22%,2024-04-30,2024-05-31
BC.MI,BC.MI,6198242193.36,5962825086.12,-235417107.24,-3.80%,2024-04-30,2024-05-31
MKS.L,MKS.L,5015527756.27,5921381480.00,905853723.73,18.06%,2024-04-30,2024-05-31
RVRC.ST,RVRC.ST,6765652600.75,5696989899.45,-1068662701.30,-15.80%,2024-04-30,2024-05-31
GRND3.SA,GRND3.SA,5156153911.87,5308988266.00,152834354.12,2.96%,2024-04-30,2024-05-31
M,M,4847123468.88,5152964765.76,305841296.88,6.31%,2024-04-30,2024-05-31
DOCS,DOCS,4310758470.26,4933064270.33,622305800.07,14.44%,2024-04-30,2024-05-31
VFC,VFC,4609678056.58,4915270106.61,305592050.03,6.63%,2024-04-30,2024-05-31
COLM,COLM,4537715301.55,4879055432.87,341340131.31,7.52%,2024-04-30,2024-05-31
SOMA3.SA,SOMA3.SA,4537440072.68,4410359753.69,-127080318.99,-2.80%,2024-04-30,2024-05-31
AEO,AEO,4564602974.53,4110815669.03,-453787305.50,-9.94%,2024-04-30,2024-05-31
KTB,KTB,3368540709.48,3893688923.54,525148214.07,15.59%,2024-04-30,2024-05-31
CPRI,CPRI,3947313529.74,3855725784.96,-91587744.78,-2.32%,2024-04-30,2024-05-31
FRAS.L,FRAS.L,3436068395.63,3709607215.07,273538819.44,7.96%,2024-04-30,2024-05-31
URBN,URBN,3443463786.65,3699958062.32,256494275.67,7.45%,2024-04-30,2024-05-31
ATZ.TO,ATZ.TO,3773810104.85,3605449889.55,-168360215.29,-4.46%,2024-04-30,2024-05-31
BRBY.L,BRBY.L,4088878564.68,3516536496.98,-572342067.70,-14.00%,2024-04-30,2024-05-31
JWN,JWN,2942576910.00,3435617203.20,493040293.20,16.76%,2024-04-30,2024-05-31
BOOT,BOOT,3072287681.52,3434551107.57,362263426.06,11.79%,2024-04-30,2024-05-31
BOSS.DE,BOSS.DE,3325232384.28,3221359961.84,-103872422.44,-3.12%,2024-04-30,2024-05-31
002269.SZ,002269.SZ,3589701653.25,3178832187.17,-410869466.08,-11.45%,2024-04-30,2024-05-31
SHOO,SHOO,2782732311.53,3060936681.26,278204369.73,10.00%,2024-04-30,2024-05-31
UA,UA,2843318491.02,3037661211.06,194342720.04,6.84%,2024-04-30,2024-05-31
0709.HK,0709.HK,3073752076.77,2996908274.76,-76843802.01,-2.50%,2024-04-30,2024-05-31
ZGN,ZGN,2783201764.53,2787727296.13,4525531.59,0.16%,2024-04-30,2024-05-31
UNF,UNF,2742246054.88,2716044615.65,-26201439.23,-0.96%,2024-04-30,2024-05-31
FL,FL,1870593011.10,2487843845.78,617250834.68,33.00%,2024-04-30,2024-05-31
KSS,KSS,2531275790.40,2367387842.40,-163887948.00,-6.47%,2024-04-30,2024-05-31
CRI,CRI,2336851838.90,2336510244.22,-341594.68,-0.01%,2024-04-30,2024-05-31
SVV,SVV,2524935131.91,2082781317.86,-442153814.05,-17.51%,2024-04-30,2024-05-31
BKE,BKE,1773367130.35,1830223217.29,56856086.94,3.21%,2024-04-30,2024-05-31
BIRD,BIRD,1799159107.86,1757422194.22,-41736913.64,-2.32%,2024-04-30,2024-05-31
HBI,HBI,1523608669.35,1714673840.95,191065171.60,12.54%,2024-04-30,2024-05-31
VSCO,VSCO,1309160361.60,1693289707.20,384129345.60,29.34%,2024-04-30,2024-05-31
OXM,OXM,1600782566.75,1644002804.91,43220238.16,2.70%,2024-04-30,2024-05-31
BORG.ST,BORG.ST,1155845379.99,1528350989.31,372505609.32,32.23%,2024-04-30,2024-05-31
SFER.MI,SFER.MI,1508804278.08,1510421431.57,1617153.49,0.11%,2024-04-30,2024-05-31
TOD.MI,TOD.MI,1370936467.61,1352992117.56,-17944350.05,-1.31%,2024-04-30,2024-05-31
GOOS,GOOS,1078166190.48,1329640546.39,251474355.91,23.32%,2024-04-30,2024-05-31
GIII,GIII,1226149568.03,1309344796.27,83195228.24,6.79%,2024-04-30,2024-05-31
RVLV,RVLV,1345012138.56,1288941817.42,-56070321.14,-4.17%,2024-04-30,2024-05-31
GES,GES,1351751414.83,1172762495.05,-178988919.78,-13.24%,2024-04-30,2024-05-31
CAL,CAL,1191586785.73,1116344347.57,-75242438.16,-6.31%,2024-04-30,2024-05-31
WWW,WWW,813840964.77,1035314602.56,221473637.79,27.21%,2024-04-30,2024-05-31
WOSG.L,WOSG.L,765044494.66,924918019.52,159873524.86,20.90%,2024-04-30,2024-05-31
FIGS,FIGS,824383233.01,857870237.86,33487004.85,4.06%,2024-04-30,2024-05-31
OVS.MI,OVS.MI,640277071.37,695806712.79,55529641.42,8.67%,2024-04-30,2024-05-31
CURV,CURV,502927475.45,665610130.23,162682654.78,32.35%,2024-04-30,2024-05-31
MEKKO.HE,MEKKO.HE,493131556.07,619119712.63,125988156.56,25.55%,2024-04-30,2024-05-31
YOU.DE,YOU.DE,750015633.58,618766804.39,-131248829.19,-17.50%,2024-04-30,2024-05-31
0330.HK,0330.HK,617543695.44,604060208.64,-13483486.80,-2.18%,2024-04-30,2024-05-31
DBI,DBI,503869289.62,545090029.09,41220739.47,8.18%,2024-04-30,2024-05-31
SFL.MI,SFL.MI,461117335.67,461117335.67,0.00,0.00%,2024-04-30,2024-05-31
MYTE,MYTE,324114255.36,444003456.96,119889201.60,36.99%,2024-04-30,2024-05-31
REAL,REAL,388920194.68,438807863.23,49887668.55,12.83%,2024-04-30,2024-05-31
ASC.L,ASC.L,379168750.33,423389986.17,44221235.84,11.66%,2024-04-30,2024-05-31
VAN.BR,VAN.BR,425960311.20,399108945.04,-26851366.16,-6.30%,2024-04-30,2024-05-31
BOO.L,BOO.L,382778691.72,386367767.30,3589075.57,0.94%,2024-04-30,2024-05-31
JILL,JILL,256579215.44,346979116.00,90399900.56,35.23%,2024-04-30,2024-05-31
ZUMZ,ZUMZ,316588650.34,345670631.01,29081980.67,9.19%,2024-04-30,2024-05-31
SGC,SGC,248404862.76,312834397.05,64429534.29,25.94%,2024-04-30,2024-05-31
GCO,GCO,263056502.47,296727202.80,33670700.33,12.80%,2024-04-30,2024-05-31
RCKY,RCKY,182068593.89,275469711.90,93401118.01,51.30%,2024-04-30,2024-05-31
WEYS,WEYS,263808253.30,274774047.81,10965794.52,4.16%,2024-04-30,2024-05-31
CALN.SW,CALN.SW,232143504.30,251789500.86,19645996.56,8.46%,2024-04-30,2024-05-31
VRA,VRA,193499942.58,239599321.92,46099379.34,23.82%,2024-04-30,2024-05-31
TDUP,TDUP,166571500.03,209255445.96,42683945.93,25.62%,2024-04-30,2024-05-31
SMCP.PA,SMCP.PA,162301747.95,185181290.40,22879542.45,14.10%,2024-04-30,2024-05-31
LANV,LANV,213421523.32,183779645.03,-29641878.29,-13.89%,2024-04-30,2024-05-31
GEO.MI,GEO.MI,170172706.46,153884747.75,-16287958.70,-9.57%,2024-04-30,2024-05-31
PLCE,PLCE,82879349.82,146514206.16,63634856.34,76.78%,2024-04-30,2024-05-31
CATO,CATO,94427290.90,110631017.58,16203726.68,17.16%,2024-04-30,2024-05-31
NXT.MC,NXT.MC,113186868.46,102360298.21,-10826570.25,-9.57%,2024-04-30,2024-05-31
RENT,RENT,34139155.05,80723127.38,46583972.33,136.45%,2024-04-30,2024-05-31
AEF.MI,AEF.MI,78379767.86,77442223.07,-937544.80,-1.20%,2024-04-30,2024-05-31
ECK.DE,ECK.DE,81062856.00,76833489.60,-4229366.40,-5.22%,2024-04-30,2024-05-31
MUL.L,MUL.L,61132919.40,63976311.00,2843391.60,4.65%,2024-04-30,2024-05-31
FOSL,FOSL,38897311.32,60000992.35,21103681.03,54.25%,2024-04-30,2024-05-31
GFG.DE,GFG.DE,50672729.44,40921422.26,-9751307.19,-19.24%,2024-04-30,2024-05-31
PMNT,PMNT,43239971.40,40408401.07,-2831570.33,-6.55%,2024-04-30,2024-05-31
WOL.VI,WOL.VI,36964147.00,36228543.02,-735603.98,-1.99%,2024-04-30,2024-05-31
LITB,LITB,38627111.01,31006795.80,-7620315.21,-19.73%,2024-04-30,2024-05-31
SDRY.L,SDRY.L,6219622.01,17378236.97,11158614.96,179.41%,2024-04-30,2024-05-31
MGOL,MGOL,4113120.32,10369942.52,6256822.19,152.12%,2024-04-30,2024-05-31
LINDEX.HE,LINDEX.HE,0.00,0.00,0.00,0.00%,2024-04-30,2024-05-31
TOTAL,,16612016941770.91,16623520483711.09,11503541940.18,0.07%,,
