Rank,Ticker,Name,Market Cap (Original),Original Currency,Market Cap (EUR),Market Cap (USD),Price,Exchange,Active,Description,Homepage URL,Employees,Date
66,RVLV,"Revolve Group, Inc.",2381921000,USD,2037709596.29,2381921000,0,NYSE,true,,,,2025-01-02
67,6110.HK,Topsports International Holdings Limited,18107659659,HKD,1981159043.29119,2315548617.972054,0,HKSE,true,,,,2025-01-02
68,LREN3.SA,Lojas Renner S.A.,12470683766,BRL,1971743128.6859455,2304776329.9327273,0,SAO,true,,,,2025-01-02
69,ZGN,Ermenegildo Zegna N.V.,2084168000,USD,1782984882.32,2084168000,0,NYSE,true,,,,2025-01-02
70,FL,"Foot Locker, Inc.",2057013264,USD,1759754277.2193599,2057013264,0,NYSE,true,,,,2025-01-02
71,CRI,"Carter's, Inc.",1899553859,USD,1625049330.8359098,1899553859,0,NYSE,true,,,,2025-01-02
72,WWW,"Wolverine World Wide, Inc.",1816239142,USD,1553774423.58958,1816239142,0,NYSE,true,,,,2025-01-02
73,TOD.MI,TOD'S S.p.A.,1421696760,EUR,1421696760,1661850822.3357372,42.96,MIL,true,,,,2025-01-02
74,SVV,"Savers Value Village, Inc.",1650382560,USD,1411885776.2544,1650382560,0,NYSE,true,,,,2025-01-02
75,KSS,Kohl's Corporation,1557330000,USD,1332280241.7,1557330000,0,NYSE,true,,,,2025-01-02
76,GIII,"G-III Apparel Group, Ltd.",1405197700,USD,1202132580.373,1405197700,0,NASDAQ,true,,,,2025-01-02
77,YOU.DE,ABOUT YOU Holding AG,1137740000,EUR,1137740000,1329927877.5906205,0,XETRA,true,,,,2025-01-02
78,SFER.MI,Salvatore Ferragamo S.p.A.,1124347456,EUR,1124347456,1314273055.2081263,0,MIL,true,,,,2025-01-02
79,ARVIND.NS,Arvind Limited,108982742356,INR,1065482858.5725167,1245773328.867653,0,NSE,true,,,,2025-01-02
80,OXM,"Oxford Industries, Inc.",1233784710,USD,1055490481.5579,1233784710,0,NYSE,true,,,,2025-01-02
81,REAL,"The RealReal, Inc.",1085976712,USD,929042217.3488799,1085976712,0,NASDAQ,true,,,,2025-01-02
82,OVS.MI,OVS S.p.A.,884653169,EUR,884653169,1034089432.9565512,0,MIL,true,,,,2025-01-02
83,FIGS,"FIGS, Inc.",1002293831,USD,857452349.48219,1002293831,0,NYSE,true,,,,2025-01-02
84,GOOS,Canada Goose Holdings Inc.,960478485,USD,821679739.13265,960478485,0,NYSE,true,,,,2025-01-02
85,CHS,"Chico's FAS, Inc.",937038630,USD,801627177.5787,937038630,7.59,NYSE,true,,,,2025-01-02
86,MAVI.IS,Mavi Giyim Sanayi ve Ticaret A.S.,34942637760,TRY,730535943.7097472,854535439.7566202,0,IST,true,,,,2025-01-02
87,SOMA3.SA,Grupo de Moda SOMA S.A.,4614312360,BRL,729570155.106171,852796695.4978931,5.88,SAO,true,,,,2025-01-02
88,BOOZT.ST,Boozt AB (publ),8017340577,SEK,717471968.5825416,838706768.1608341,0,STO,true,,,,2025-01-02
89,GRND3.SA,Grendene S.A.,4428808112,BRL,700240029.092289,818512625.1201301,0,SAO,true,,,,2025-01-02
90,002269.SZ,"Shanghai Metersbonwe Fashion and Accessories Co., Ltd.",5470587814,CNY,652005603.3085431,762121984.0904975,0,SHZ,true,,,,2025-01-02
91,CAL,"Caleres, Inc.",751953150,USD,643288400.2935,751953150,0,NYSE,true,,,,2025-01-02
92,GES,"Guess', Inc.",701520380,USD,600143669.8862,701520380,0,NYSE,true,,,,2025-01-02
93,LUXIND.NS,Lux Industries Limited,60802722519,INR,594445113.0337057,695031235.2141012,0,NSE,true,,,,2025-01-02
94,3612.T,"World Co., Ltd.",97884121296,JPY,569796194.9997845,666050552.4965638,2873,JPX,true,,,,2025-01-02
95,MYTE,MYT Netherlands Parent B.V.,652256000,USD,557998485.4399999,652256000,0,NYSE,true,,,,2025-01-02
96,8016.T,"Onward Holdings Co., Ltd.",85930812807,JPY,500214432.3552119,584714503.1164519,633,JPX,true,,,,2025-01-02
97,MEKKO.HE,Marimekko Oyj,499926661,EUR,499926661,584374640.2646437,0,HEL,true,,,,2025-01-02
98,CURV,Torrid Holdings Inc.,552805440,USD,472919525.8656,552805440,0,NYSE,true,,,,2025-01-02
99,RVRC.ST,RVRC Holding AB (publ),4864500000,SEK,435324202.29,508883093.4066451,0,STO,true,,,,2025-01-02
100,LINDEX.HE,Lindex Group Oyj,419538460,EUR,419538460,490407205.2274135,0,HEL,true,,,,2025-01-02
101,SFL.MI,Safilo Group S.p.A.,400326904,EUR,400326904,467950419.05808365,0,MIL,true,,,,2025-01-02
102,DLTI.TA,Delta Israel Brands Ltd,1550729287,ILA,393233932.59746003,459326998.6878312,0,TLV,true,,,,2025-01-02
103,4012.SR,Thob Al Aseel Company,1700000000,SAR,387634000,453079608.752432,0,SAU,true,,,,2025-01-02
104,GCO,Genesco Inc.,448979520,USD,384097489.56479996,448979520,0,NYSE,true,,,,2025-01-02
105,VAN.BR,Van de Velde N.V.,382086724,EUR,382086724,446629094.4371062,0,BRU,true,,,,2025-01-02
106,ABFRL.NS,Aditya Birla Fashion and Retail Limited,34762626000,INR,339860984.60412,397368898.74488467,0,NSE,true,,,,2025-01-02
107,7606.T,United Arrows Ltd.,57535934776,JPY,334924156.0026169,391502121.4735782,2084,JPX,true,,,,2025-01-02
108,ALPA4.SA,Alpargatas S.A.,2111756286,BRL,333890348.3169162,390285408.0727434,0,SAO,true,,,,2025-01-02
109,WEYS,"Weyco Group, Inc.",350793520,USD,300100348.4248,350793520,0,NASDAQ,true,,,,2025-01-02
110,ZUMZ,Zumiez Inc.,350243110,USD,299629478.1739,350243110,0,NASDAQ,true,,,,2025-01-02
111,0709.HK,Giordano International Limited,2701932857,HKD,295618473.88436997,345514385.11105454,0,HKSE,true,,,,2025-01-02
112,SMCP.PA,SMCP S.a.,276999996,EUR,276999996,323791039.05364174,0,PAR,true,,,,2025-01-02
113,JILL,"J.Jill, Inc.",316165658,USD,270476558.76242,316165658,0,NYSE,true,,,,2025-01-02
114,DOLLAR.NS,Dollar Industries Limited,26902624259,INR,263016734.38302457,307521824.59248763,0,NSE,true,,,,2025-01-02
115,2368.HK,Eagle Nice (International) Holdings Limited,2298980390,HKD,251531444.46989998,293986134.3242929,0,HKSE,true,,,,2025-01-02
116,DBI,Designer Brands Inc.,276039900,USD,236149374.051,276039900,0,NYSE,true,,,,2025-01-02
117,SGC,"Superior Group of Companies, Inc.",253941512,USD,217244424.10088,253941512,0,NASDAQ,true,,,,2025-01-02
118,LANV,Lanvin Group Holdings Limited,233466800,USD,199728512.732,233466800,0,NYSE,true,,,,2025-01-02
119,MONTECARLO.NS,Monte Carlo Fashions Limited,16643385245,INR,162716053.0539719,190249254.07512406,0,NSE,true,,,,2025-01-02
120,RCKY,"Rocky Brands, Inc.",167528010,USD,143318537.2749,167528010,0,NASDAQ,true,,,,2025-01-02
121,TDUP,ThredUp Inc.,159124140,USD,136129110.5286,159124140,0,NASDAQ,true,,,,2025-01-02
122,NXT.L,NEXT plc,11688500000,GBp,135593613.10000002,158513927.68992922,0,LSE,true,,,,2025-01-02
123,NXT.MC,"Nueva Expresión Textil, S.A.",132600554,EUR,132600554,154999537.10738873,0,BME,true,,,,2025-01-02
124,GEO.MI,Geox S.p.A.,129110122,EUR,129110122,150919498.7667886,0,MIL,true,,,,2025-01-02
125,BORG.ST,Björn Borg AB (publ),1353234543,SEK,121100986.31776087,141564021.03948355,0,STO,true,,,,2025-01-02
126,PLCE,"The Children's Place, Inc.",133540549,USD,114242604.26401,133540549,0,NASDAQ,true,,,,2025-01-02
127,CALN.SW,CALIDA Holding AG,96162654,CHF,102094334.85508016,119336635.18695474,13.76,SIX,true,,,,2025-01-02
128,MKS.L,Marks and Spencer Group plc,8186084271,GBp,94963489.1941626,111015816.41758658,0,LSE,true,,,,2025-01-02
129,VRA,"Vera Bradley, Inc.",103406790,USD,88463474.7771,103406790,0,NASDAQ,true,,,,2025-01-02
130,AEF.MI,Aeffe S.p.A.,83661237,EUR,83661237,97793354.68561876,0,MIL,true,,,,2025-01-02
131,FOSL,"Fossil Group, Inc.",93632000,USD,80101239.67999999,93632000,0,NASDAQ,true,,,,2025-01-02
132,CATO,The Cato Corporation,72768943,USD,62253103.04707,72768943,0,NYSE,true,,,,2025-01-02
133,JD.L,JD Sports Fashion plc,4939395093,GBp,57299946.71585581,66985748.09460522,0,LSE,true,,,,2025-01-02
134,ECK.DE,LUDWIG BECK am Rathauseck - Textilhaus Feldmeier AG,53280000,EUR,53280000,62280096.7866369,0,XETRA,true,,,,2025-01-02
135,GFG.DE,Global Fashion Group S.A.,52147639,EUR,52147639,60956456.53368245,0,XETRA,true,,,,2025-01-02
136,PPH.JO,Pepkor Holdings Limited,105792950000,ZAc,51491925.47862,60185884.31667,0,JNB,true,,,,2025-01-02
137,BIRD,"Allbirds, Inc.",52999880,USD,45340867.3412,52999880,0,NASDAQ,true,,,,2025-01-02
138,BRBY.L,Burberry Group plc,3499107960,GBp,40591751.800776005,47453252.86826331,0,LSE,true,,,,2025-01-02
139,0330.HK,Esprit Holdings Limited,359537000,HKD,39336943.169999994,45976422.08533727,0,HKSE,true,,,,2025-01-02
140,WOL.VI,Wolford AG,38612000,EUR,38612000,45134367.43854399,0,VIE,true,,,,2025-01-02
141,FRAS.L,Frasers Group plc,2652953453,GBp,30775851.826871805,35978104.27459383,0,LSE,true,,,,2025-01-02
142,RENT,"Rent the Runway, Inc.",34908938,USD,29864247.36962,34908938,0,NASDAQ,true,,,,2025-01-02
143,WOSG.L,Watches of Switzerland Group plc,1295762290,GBp,15031620.021374002,17572517.42656432,0,LSE,true,,,,2025-01-02
144,LITB,"LightInTheBox Holding Co., Ltd.",15999385,USD,13687313.87365,15999385,0,NYSE,true,,,,2025-01-02
145,PMNT,Perfect Moment Ltd. Common Stock,15484002,USD,13246408.87098,15484002,0,NASDAQ,true,,,,2025-01-02
146,ASC.L,ASOS Plc,520518554,GBp,6038327.5375324,7059027.285795655,0,LSE,true,,,,2025-01-02
147,BOO.L,Boohoo Group Plc,391290158,GBp,4539200.6068948,5306492.690336055,0,LSE,true,,,,2025-01-02
148,EXPR,"Express, Inc.",3109396,USD,2660057.1840399997,3109396,0.83,NYSE,true,,,,2025-01-02
149,MGOL,MGO Global Inc. Common Stock,1481898.22,USD,1267749.1082277999,1481898.22,0,NASDAQ,true,,,,2025-01-02
150,MUL.L,Mulberry Group plc,64774500,GBp,751423.0647000001,878441.2378963357,0,LSE,true,,,,2025-01-02
151,SDRY.L,Superdry plc,3270419,GBp,37938.8226514,44351.880984024516,3.295,LSE,true,,,,2025-01-02
152,GWI2.DE,GERRY WEBER International AG,24918,EUR,24918,29127.166886813404,0.02,XETRA,true,,,,2025-01-02
