Ticker,Name,Market Cap From (USD),Market Cap To (USD),Absolute Change (USD),Percentage Change (%),Rank From,Rank To,Rank Change,Market Share From (%),Market Share To (%)
DKS,"DICK'S Sporting Goods, Inc.",16339485540.00,16405338570.00,65853030.00,0.40,21,21,0,0.8173,0.8140
MKS.L,Marks and Spencer Group plc,97687991.27,97925722.21,237730.94,0.24,127,127,0,0.0049,0.0049
M,"Macy's, Inc.",3422808000.00,3431136000.00,8328000.00,0.24,56,50,+6,0.1712,0.1703
BIRK,Birkenstock Holding plc,9209255870.00,9229917060.00,20661190.00,0.22,28,28,0,0.4606,0.4580
VIPS,Vipshop Holdings Limited,7752506100.00,7762774320.00,10268220.00,0.13,35,33,+2,0.3878,0.3852
GIII,"G-III Apparel Group, Ltd.",1016266040.00,1017141000.00,874960.00,0.09,81,79,+2,0.0508,0.0505
0330.HK,Esprit Holdings Limited,35837609.32,35839888.08,2278.76,0.01,141,141,0,0.0018,0.0018
CHS,"Chico's FAS, Inc.",937038630.00,937038630.00,0.00,0.00,83,83,0,0.0469,0.0465
MYTE,MYT Netherlands Parent B.V.,1041897337.00,1041897337.00,0.00,0.00,79,77,+2,0.0521,0.0517
MGOL,MGO Global Inc. Common Stock,3411030.00,3411030.00,0.00,0.00,148,148,0,0.0002,0.0002
WOL.VI,Wolford AG,39943915.18,39943915.18,0.00,0.00,140,139,+1,0.0020,0.0020
SDRY.L,Superdry plc,44351.88,44351.88,0.00,0.00,151,151,0,0.0000,0.0000
EXPR,"Express, Inc.",3109396.00,3109396.00,0.00,0.00,149,149,0,0.0002,0.0002
TOD.MI,TOD'S S.p.A.,1661850822.34,1661850822.34,0.00,0.00,69,69,0,0.0831,0.0825
BOO.L,Boohoo Group Plc,4945542.49,4945542.49,0.00,0.00,146,145,+1,0.0002,0.0002
GWI2.DE,GERRY WEBER International AG,29127.17,29127.17,0.00,0.00,152,152,0,0.0000,0.0000
GPS,"The Gap, Inc.",9207895046.00,9207895046.00,0.00,0.00,29,29,0,0.4606,0.4569
JWN,"Nordstrom, Inc.",4124015297.00,4124015297.00,0.00,0.00,48,48,0,0.2063,0.2046
SOMA3.SA,Grupo de Moda SOMA S.A.,852796695.50,852796695.50,0.00,0.00,87,84,+3,0.0427,0.0423
GES,"Guess', Inc.",641160000.00,640132500.00,-1027500.00,-0.16,90,91,-1,0.0321,0.0318
SKX,"Skechers U.S.A., Inc.",9430822320.00,9412893000.00,-17929320.00,-0.19,27,27,0,0.4717,0.4671
CAL,"Caleres, Inc.",429628830.00,428327910.00,-1300920.00,-0.30,104,104,0,0.0215,0.0213
PVH,PVH Corp.,3658249000.00,3646496000.00,-11753000.00,-0.32,52,49,+3,0.1830,0.1809
ABFRL.NS,Aditya Birla Fashion and Retail Limited,104769839.51,103743373.49,-1026466.02,-0.98,125,125,0,0.0052,0.0051
9983.T,"Fast Retailing Co., Ltd.",99073662307.26,97925526734.80,-1148135572.46,-1.16,7,7,0,4.9554,4.8591
FL,"Foot Locker, Inc.",2377735000.00,2349145000.00,-28590000.00,-1.20,60,61,-1,0.1189,0.1166
CDI.PA,Christian Dior SE,94012830733.26,92874048126.80,-1138782606.46,-1.21,8,9,-1,4.7023,4.6085
CTAS,Cintas Corporation,90489345720.00,89355758000.00,-1133587720.00,-1.25,9,10,-1,4.5261,4.4339
FRAS.L,Frasers Group plc,40335011.36,39806605.10,-528406.26,-1.31,139,140,-1,0.0020,0.0020
MC.PA,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",273819027878.76,269499102910.61,-4319924968.15,-1.58,2,1,+1,13.6958,13.3728
NXT.L,NEXT plc,202513034.31,199121667.70,-3391366.61,-1.67,116,116,0,0.0101,0.0099
CATO,The Cato Corporation,53064937.00,52130695.00,-934242.00,-1.76,138,136,+2,0.0027,0.0026
DOCS,"Doximity, Inc.",10996573560.00,10798793460.00,-197780100.00,-1.80,26,26,0,0.5500,0.5358
DECK,Deckers Outdoor Corporation,15740857600.00,15434702400.00,-306155200.00,-1.94,22,23,-1,0.7873,0.7659
1913.HK,Prada S.p.A.,13572819234.71,13284892052.84,-287927181.87,-2.12,25,25,0,0.6789,0.6592
2368.HK,Eagle Nice (International) Holdings Limited,293697083.00,285269936.05,-8427146.95,-2.87,110,109,+1,0.0147,0.0142
PPH.JO,Pepkor Holdings Limited,53314647.61,51630019.61,-1684628.00,-3.16,137,137,0,0.0027,0.0026
ASC.L,ASOS Plc,5100965.99,4939287.19,-161678.80,-3.17,145,146,-1,0.0003,0.0002
0709.HK,Giordano International Limited,314160636.21,303806576.32,-10354059.89,-3.30,109,108,+1,0.0157,0.0151
7936.T,ASICS Corporation,17942260255.52,17343860577.80,-598399677.72,-3.34,17,18,-1,0.8974,0.8606
BORG.ST,Björn Borg AB (publ),156533344.21,151271719.20,-5261625.02,-3.36,121,120,+1,0.0078,0.0075
OVS.MI,OVS S.p.A.,1131991390.90,1086099848.04,-45891542.86,-4.05,75,76,-1,0.0566,0.0539
VSCO,Victoria's Secret & Co.,1543660000.00,1478880000.00,-64780000.00,-4.20,71,70,+1,0.0772,0.0734
6110.HK,Topsports International Holdings Limited,2482064467.78,2371073833.35,-110990634.43,-4.47,59,60,-1,0.1241,0.1177
SFER.MI,Salvatore Ferragamo S.p.A.,996834497.19,950380073.41,-46454423.78,-4.66,82,81,+1,0.0499,0.0472
MONTECARLO.NS,Monte Carlo Fashions Limited,144639202.44,137588544.95,-7050657.50,-4.87,122,122,0,0.0072,0.0068
VFC,V.F. Corporation,4785301440.00,4537512320.00,-247789120.00,-5.18,45,47,-2,0.2393,0.2252
DBI,Designer Brands Inc.,130256100.00,123502080.00,-6754020.00,-5.19,124,123,+1,0.0065,0.0061
ZUMZ,Zumiez Inc.,253805160.00,240580480.00,-13224680.00,-5.21,112,115,-3,0.0127,0.0119
1929.HK,Chow Tai Fook Jewellery Group Limited,17787112775.78,16858728879.56,-928383896.23,-5.22,18,20,-2,0.8897,0.8365
MONC.MI,Moncler S.p.A.,15632410036.35,14803658229.79,-828751806.57,-5.30,23,24,-1,0.7819,0.7346
RVLV,"Revolve Group, Inc.",1517040240.00,1432958160.00,-84082080.00,-5.54,74,72,+2,0.0759,0.0711
HM-B.ST,H & M Hennes & Mauritz AB (publ),22810592017.93,21543336905.82,-1267255112.11,-5.56,15,16,-1,1.1409,1.0690
600612.SS,"Lao Feng Xiang Co., Ltd.",3631483501.07,3424511533.55,-206971967.51,-5.70,53,51,+2,0.1816,0.1699
LUXIND.NS,Lux Industries Limited,499897778.97,469060263.83,-30837515.15,-6.17,99,102,-3,0.0250,0.0233
SHOO,"Steven Madden, Ltd.",1783479600.00,1665733440.00,-117746160.00,-6.60,67,68,-1,0.0892,0.0827
CPRI,Capri Holdings Limited,2153441760.00,2009169439.00,-144272321.00,-6.70,63,63,0,0.1077,0.0997
ECK.DE,LUDWIG BECK am Rathauseck - Textilhaus Feldmeier AG,61332102.07,57090088.72,-4242013.35,-6.92,134,134,0,0.0031,0.0028
ITX.MC,"Industria de Diseño Textil, S.A.",161571859472.35,149773508679.24,-11798350793.11,-7.30,3,3,0,8.0814,7.4319
RENT,"Rent the Runway, Inc.",19636650.00,18168860.00,-1467790.00,-7.47,142,142,0,0.0010,0.0009
MUL.L,Mulberry Group plc,809623.26,748901.52,-60721.74,-7.50,150,150,0,0.0000,0.0000
GIL.TO,Gildan Activewear Inc.,8418415613.99,7769851960.09,-648563653.90,-7.70,32,32,0,0.4211,0.3855
YOU.DE,ABOUT YOU Holding AG,1531753731.78,1409027667.18,-122726064.59,-8.01,73,73,0,0.0766,0.0699
GRND3.SA,Grendene S.A.,911550463.89,838226477.79,-73323986.10,-8.04,85,85,0,0.0456,0.0416
UA,"Under Armour, Inc.",2909954560.00,2672495360.00,-237459200.00,-8.16,58,58,0,0.1455,0.1326
ALPA4.SA,Alpargatas S.A.,591702797.18,542132785.54,-49570011.64,-8.38,94,98,-4,0.0296,0.0269
JD.L,JD Sports Fashion plc,64282097.97,58803734.44,-5478363.53,-8.52,133,133,0,0.0032,0.0029
BC.MI,Brunello Cucinelli S.p.A.,8457253916.47,7735525856.53,-721728059.94,-8.53,30,34,-4,0.4230,0.3838
2331.HK,Li Ning Company Limited,5921563825.20,5388239472.23,-533324352.98,-9.01,43,44,-1,0.2962,0.2674
CROX,"Crocs, Inc.",6011064300.00,5449964300.00,-561100000.00,-9.33,42,43,-1,0.3007,0.2704
ONON,On Holding AG,17693388842.00,15937944402.00,-1755444440.00,-9.92,19,22,-3,0.8850,0.7909
CURV,Torrid Holdings Inc.,291663700.00,262287500.00,-29376200.00,-10.07,111,112,-1,0.0146,0.0130
ARVIND.NS,Arvind Limited,1049810258.11,943782412.95,-106027845.16,-10.10,78,82,-4,0.0525,0.0468
RMS.PA,Hermès International Société en commandite par actions,283535854399.23,254618628107.87,-28917226291.37,-10.20,1,2,-1,14.1818,12.6344
DLTI.TA,Delta Israel Brands Ltd,729501925.01,654737377.85,-74764547.15,-10.25,88,89,-1,0.0365,0.0325
4012.SR,Thob Al Aseel Company,439220703.07,391247568.03,-47973135.04,-10.92,102,107,-5,0.0220,0.0194
SGC,"Superior Group of Companies, Inc.",167540294.00,148976705.00,-18563589.00,-11.08,120,121,-1,0.0084,0.0074
ZGN,Ermenegildo Zegna N.V.,2279558750.00,2019037750.00,-260521000.00,-11.43,62,62,0,0.1140,0.1002
AEF.MI,Aeffe S.p.A.,56432518.21,49932144.15,-6500374.05,-11.52,136,138,-2,0.0028,0.0025
3998.HK,Bosideng International Holdings Limited,7046859257.57,6232162864.21,-814696393.36,-11.56,39,40,-1,0.3525,0.3092
BBWI,"Bath & Body Works, Inc.",6880100000.00,6028380000.00,-851720000.00,-12.38,40,42,-2,0.3441,0.2991
HBI,Hanesbrands Inc.,1647160880.00,1438614760.00,-208546120.00,-12.66,70,71,-1,0.0824,0.0714
GEO.MI,Geox S.p.A.,100459816.01,87619088.48,-12840727.54,-12.78,126,129,-3,0.0050,0.0043
OXM,"Oxford Industries, Inc.",645717240.00,562757340.00,-82959900.00,-12.85,89,97,-8,0.0323,0.0279
BIRD,"Allbirds, Inc.",87819142.00,76190123.00,-11629019.00,-13.24,129,131,-2,0.0044,0.0038
ZAL.DE,Zalando SE,8413073209.51,7221124735.53,-1191948473.97,-14.17,33,37,-4,0.4208,0.3583
UNF,UniFirst Corporation,3535342470.00,3031695288.00,-503647182.00,-14.25,54,56,-2,0.1768,0.1504
CALN.SW,CALIDA Holding AG,139418556.48,119336635.19,-20081921.30,-14.40,123,124,-1,0.0070,0.0059
LREN3.SA,Lojas Renner S.A.,3741362874.25,3173614907.04,-567747967.21,-15.17,51,53,-2,0.1871,0.1575
WEYS,"Weyco Group, Inc.",322149520.00,272118000.00,-50031520.00,-15.53,108,111,-3,0.0161,0.0135
GAP,"The Gap, Inc.",8422500000.00,7065000000.00,-1357500000.00,-16.12,31,38,-7,0.4213,0.3506
VRA,"Vera Bradley, Inc.",64711090.00,53879620.00,-10831470.00,-16.74,132,135,-3,0.0032,0.0027
ADS.DE,adidas AG,43035945621.81,34850355360.09,-8185590261.72,-19.02,10,12,-2,2.1526,1.7293
LULU,Lululemon Athletica Inc.,29569315840.00,23321784560.00,-6247531280.00,-21.13,12,14,-2,1.4790,1.1572
WOSG.L,Watches of Switzerland Group plc,13312707.90,10482259.13,-2830448.76,-21.26,143,144,-1,0.0007,0.0005
KTB,"Kontoor Brands, Inc.",3896438450.00,3035114650.00,-861323800.00,-22.11,50,55,-5,0.1949,0.1506
PUM.DE,PUMA Se,4088199330.21,3167616219.94,-920583110.26,-22.52,49,54,-5,0.2045,0.1572
COLM,Columbia Sportswear Company,3531306240.00,2723972900.00,-807333340.00,-22.86,55,57,-2,0.1766,0.1352
CRI,"Carter's, Inc.",1124341022.00,834871748.00,-289469274.00,-25.75,76,86,-10,0.0562,0.0414
FOI-B.ST,Fenix Outdoor International AG,1918283700.36,703042209.73,-1215241490.63,-63.35,65,87,-22,0.0959,0.0349
