Rank,Ticker,Name,Market Cap (Original),Original Currency,Market Cap (EUR),Market Cap (USD),Price,Exchange,Active,Description,Homepage URL,Employees,Date
37,BC.MI,Brunello Cucinelli S.p.A.,6558534000,EUR,6558534000,7666406386.982899,96.52,MIL,true,,,,2025-08-15
38,URBN,"Urban Outfitters, Inc.",6928437909,USD,5927209346.77041,6928437909,77.29,NASDAQ,true,,,,2025-08-15
39,3998.HK,Bosideng International Holdings Limited,53419680937,HKD,5844647291.317169,6831135038.74026,0,HKSE,true,,,,2025-08-15
40,ZAL.DE,Zalando SE,5793975000,EUR,5793975000,6772697518.381278,0,XETRA,true,,,,2025-08-15
41,BBWI,"Bath & Body Works, Inc.",6075380520,USD,5197427281.0548,6075380520,28.71,NYSE,true,,,,2025-08-15
42,2331.HK,Li Ning Company Limited,46308604760,HKD,5066624446.791599,5921793747.594318,0,HKSE,true,,,,2025-08-15
43,ATZ.TO,Aritzia Inc.,7301756620,CAD,4529878603.644124,5294888123.449986,76.76,TSX,true,,,,2025-08-15
44,VFC,V.F. Corporation,5062396320,USD,4330829427.7968,5062396320,12.96,NYSE,true,,,,2025-08-15
45,BOOT,"Boot Barn Holdings, Inc.",4964368332,USD,4246967464.34268,4964368332,162.47,NYSE,true,,,,2025-08-15
46,ANF,Abercrombie & Fitch Co.,4636645956,USD,3966604248.89844,4636645956,97.32,NYSE,true,,,,2025-08-15
47,CROX,"Crocs, Inc.",4589500122,USD,3926271459.36978,4589500122,84.03,NASDAQ,true,,,,2025-08-15
48,JWN,"Nordstrom, Inc.",4124015297,USD,3528053846.43053,4124015297,24.66,NYSE,true,,,,2025-08-15
49,KTB,"Kontoor Brands, Inc.",3888526774,USD,3326595769.88926,3888526774,69.97,NYSE,true,,,,2025-08-15
50,PVH,PVH Corp.,3658843641,USD,3130104146.43909,3658843641,76.11,NYSE,true,,,,2025-08-15
51,M,"Macy's, Inc.",3519158400,USD,3010604819.6159997,3519158400,12.96,NYSE,true,,,,2025-08-15
52,600612.SS,"Lao Feng Xiang Co., Ltd.",24764578816,CNY,2951537330.2822275,3450018642.2590938,0,SHH,true,,,,2025-08-15
53,BOSS.DE,Hugo Boss AG,2848706770,EUR,2848706770,3329912412.76929,0,XETRA,true,,,,2025-08-15
54,UNF,UniFirst Corporation,3239815313,USD,2771629602.11837,3239815313,174.72,NYSE,true,,,,2025-08-15
55,PUM.DE,PUMA Se,2557263479,EUR,2557263479,2989238306.701422,0,XETRA,true,,,,2025-08-15
56,LREN3.SA,Lojas Renner S.A.,16030973700,BRL,2534661517.542334,2962773286.759814,16.02,SAO,true,,,,2025-08-15
57,COLM,Columbia Sportswear Company,2887479672,USD,2470209984.59928,2887479672,52.72,NASDAQ,true,,,,2025-08-15
58,BKE,"The Buckle, Inc.",2868372990,USD,2453864409.2151,2868372990,56.07,NYSE,true,,,,2025-08-15
59,CPRI,Capri Holdings Limited,2542865280,USD,2175395818.3872,2542865280,21.36,NYSE,true,,,,2025-08-15
60,6110.HK,Topsports International Holdings Limited,19410049644,HKD,2123653531.5500398,2482094012.938569,0,HKSE,true,,,,2025-08-15
61,FL,"Foot Locker, Inc.",2451974343,USD,2097639530.69307,2451974343,25.69,NYSE,true,,,,2025-08-15
62,WWW,"Wolverine World Wide, Inc.",2314125312,USD,1979711063.16288,2314125312,28.48,NYSE,true,,,,2025-08-15
63,HBI,Hanesbrands Inc.,2281564950,USD,1951855999.0755,2281564950,6.45,NYSE,true,,,,2025-08-15
64,REAL,"The RealReal, Inc.",2243816818,USD,1919562849.63082,2243816818,7.87,NASDAQ,true,,,,2025-08-15
65,AEO,"American Eagle Outfitters, Inc.",2190107520,USD,1873615082.2848,2190107520,12.64,NYSE,true,,,,2025-08-15
66,UA,"Under Armour, Inc.",2075889336,USD,1775902568.05464,2075889336,4.76,NYSE,true,,,,2025-08-15
67,ZGN,Ermenegildo Zegna N.V.,2050949600,USD,1754566873.304,2050949600,8.12,NYSE,true,,,,2025-08-15
68,002563.SZ,"Zhejiang Semir Garment Co., Ltd.",14657347257,CNY,1746918771.095538,2041953616.8345385,0,SHZ,true,,,,2025-08-15
69,SHOO,"Steven Madden, Ltd.",1942725176,USD,1661981960.8162398,1942725176,26.74,NASDAQ,true,,,,2025-08-15
70,VSCO,Victoria's Secret & Co.,1790293050,USD,1531577801.3445,1790293050,22.42,NYSE,true,,,,2025-08-15
71,SVV,"Savers Value Village, Inc.",1726671378,USD,1477150097.16522,1726671378,11.1,NYSE,true,,,,2025-08-15
72,TOD.MI,TOD'S S.p.A.,1421696760,EUR,1421696760,1661850822.3357372,42.96,MIL,true,,,,2025-08-15
73,KSS,Kohl's Corporation,1620127320,USD,1386002720.9868,1620127320,14.46,NYSE,true,,,,2025-08-15
74,RVLV,"Revolve Group, Inc.",1546403711,USD,1322932910.7233899,1546403711,21.69,NYSE,true,,,,2025-08-15
75,YOU.DE,ABOUT YOU Holding AG,1210822593,EUR,1210822593,1415355635.9513261,0,XETRA,true,,,,2025-08-15
76,TDUP,ThredUp Inc.,1294422142,USD,1107365198.25958,1294422142,10.51,NASDAQ,true,,,,2025-08-15
77,ALPA4.SA,Alpargatas S.A.,6180959317,BRL,977273122.361535,1142337420.898943,9.48,SAO,true,,,,2025-08-15
78,FIGS,"FIGS, Inc.",1116787327,USD,955400390.37523,1116787327,6.84,NYSE,true,,,,2025-08-15
79,GIII,"G-III Apparel Group, Ltd.",1109927654,USD,949532008.7204599,1109927654,25.63,NASDAQ,true,,,,2025-08-15
80,GOOS,Canada Goose Holdings Inc.,1080367419,USD,924243523.2803099,1080367419,11.13,NYSE,true,,,,2025-08-15
81,OVS.MI,OVS S.p.A.,914523990,EUR,914523990,1069006055.0094098,3.8,MIL,true,,,,2025-08-15
82,ABFRL.NS,Aditya Birla Fashion and Retail Limited,91198502400,INR,891613102.533888,1042483052.5136601,75,NSE,true,,,,2025-08-15
83,MYTE,MYT Netherlands Parent B.V.,1041897337,USD,891332752.83013,1041897337,7.64,NYSE,true,,,,2025-08-15
84,CRI,"Carter's, Inc.",957802538,USD,819390493.2336199,957802538,26.29,NYSE,true,,,,2025-08-15
85,CHS,"Chico's FAS, Inc.",937038630,USD,801627177.5787,937038630,7.59,NYSE,true,,,,2025-08-15
86,GRND3.SA,Grendene S.A.,4781448000,BRL,755996015.6212943,883685961.4105123,5.3,SAO,true,,,,2025-08-15
87,SFER.MI,Salvatore Ferragamo S.p.A.,750184089,EUR,750184089,876905737.0629697,4.528,MIL,true,,,,2025-08-15
88,ARVIND.NS,Arvind Limited,75193034550,INR,735133725.4422209,859525783.0182209,287.05,NSE,true,,,,2025-08-15
89,SOMA3.SA,Grupo de Moda SOMA S.A.,4614312360,BRL,729570155.106171,852796695.4978931,5.88,SAO,true,,,,2025-08-15
90,MAVI.IS,Mavi Giyim Sanayi ve Ticaret A.S.,31796370240,TRY,664757809.6240128,777592276.0131865,0,IST,true,,,,2025-08-15
91,FOI-B.ST,Fenix Outdoor International AG,6814587000,SEK,609837526.92174,712884800.6678404,0,STO,true,,,,2025-08-15
92,GES,"Guess', Inc.",695460605,USD,594959592.97145,695460605,13.37,NYSE,true,,,,2025-08-15
93,3612.T,"World Co., Ltd.",99429358600,JPY,578791222.227218,676565088.9345546,0,JPX,true,,,,2025-08-15
94,OXM,"Oxford Industries, Inc.",667612380,USD,571135714.9662,667612380,44.7,NYSE,true,,,,2025-08-15
95,DLTI.TA,Delta Israel Brands Ltd,2210452314,ILA,560526497.7841201,654737377.8542634,8834,TLV,true,,,,2025-08-15
96,SFL.MI,Safilo Group S.p.A.,554856864,EUR,554856864,648583693.55574,1.376,MIL,true,,,,2025-08-15
97,002269.SZ,"Shanghai Metersbonwe Fashion and Accessories Co., Ltd.",4640230735,CNY,553040467.0814264,646442754.350037,0,SHZ,true,,,,2025-08-15
98,BOOZT.ST,Boozt AB (publ),5714497500,SEK,511390495.56495005,597802685.7980348,0,STO,true,,,,2025-08-15
99,SMCP.PA,SMCP S.a.,510446903,EUR,510446903,596671969.280763,0,PAR,true,,,,2025-08-15
100,MEKKO.HE,Marimekko Oyj,504707967,EUR,504707967,589963607.9907421,0,HEL,true,,,,2025-08-15
101,8016.T,"Onward Holdings Co., Ltd.",85924190994,JPY,500175885.9209032,584669445.1218683,0,JPX,true,,,,2025-08-15
102,LINDEX.HE,Lindex Group Oyj,470649490,EUR,470649490,550151948.0064057,0,HEL,true,,,,2025-08-15
103,RVRC.ST,RVRC Holding AB (publ),4971303545,SEK,444882053.6681209,520055982.3708544,0,STO,true,,,,2025-08-15
104,VAN.BR,Van de Velde N.V.,428212402,EUR,428212402,500546355.8896071,0,BRU,true,,,,2025-08-15
105,CAL,"Caleres, Inc.",493093853,USD,421836860.30297,493093853,14.59,NYSE,true,,,,2025-08-15
106,LUXIND.NS,Lux Industries Limited,38726335260,INR,378612663.8296212,442677753.82364374,1287.8,NSE,true,,,,2025-08-15
107,7606.T,United Arrows Ltd.,57535736796,JPY,334923003.5352995,391500774.322614,0,JPX,true,,,,2025-08-15
108,4012.SR,Thob Al Aseel Company,1468000000,SAR,334733360,391247568.0285707,3.67,SAU,true,,,,2025-08-15
109,0709.HK,Giordano International Limited,2456585267,HKD,268774994.06246996,314140133.34987205,0,HKSE,true,,,,2025-08-15
110,LANV,Lanvin Group Holdings Limited,293512430,USD,251096948.7407,293512430,2.33,NYSE,true,,,,2025-08-15
111,WEYS,"Weyco Group, Inc.",287993882,USD,246375886.11218,287993882,30.19,NASDAQ,true,,,,2025-08-15
112,2368.HK,Eagle Nice (International) Holdings Limited,2231955528,HKD,244198254.31847998,285415212.9851164,0,HKSE,true,,,,2025-08-15
113,GCO,Genesco Inc.,285422624,USD,244176200.60575998,285422624,26.48,NYSE,true,,,,2025-08-15
114,ZUMZ,Zumiez Inc.,278643008,USD,238376306.91392,278643008,15.68,NASDAQ,true,,,,2025-08-15
115,DOLLAR.NS,Dollar Industries Limited,20766600015,INR,203027157.0386493,237381404.3460369,366.15,NSE,true,,,,2025-08-15
116,CURV,Torrid Holdings Inc.,228006240,USD,195057058.25759998,228006240,2.17,NYSE,true,,,,2025-08-15
117,NXT.MC,"Nueva Expresión Textil, S.A.",180474521,EUR,180474521,210960409.82360986,0,BME,true,,,,2025-08-15
118,RCKY,"Rocky Brands, Inc.",200375562,USD,171419289.53538,200375562,26.83,NASDAQ,true,,,,2025-08-15
119,SGC,"Superior Group of Companies, Inc.",194493894,USD,166387581.37805998,194493894,12.18,NASDAQ,true,,,,2025-08-15
120,NXT.L,NEXT plc,14087422603,GBp,163422554.6483618,191046985.31286445,0,LSE,true,,,,2025-08-15
121,JILL,"J.Jill, Inc.",179517250,USD,153575212.2025,179517250,15.49,NYSE,true,,,,2025-08-15
122,DBI,Designer Brands Inc.,167467695,USD,143266938.39554998,167467695,3.43,NYSE,true,,,,2025-08-15
123,BORG.ST,Björn Borg AB (publ),1438487564,SEK,128730280.87211129,150482475.3613546,0,STO,true,,,,2025-08-15
124,GEO.MI,Geox S.p.A.,111682142,EUR,111682142,130547571.56717202,0.305,MIL,true,,,,2025-08-15
125,MONTECARLO.NS,Monte Carlo Fashions Limited,11311433760,INR,110587589.5266912,129300127.56909993,545.6,NSE,true,,,,2025-08-15
126,FOSL,"Fossil Group, Inc.",126040605,USD,107826477.17145,126040605,2.35,NASDAQ,true,,,,2025-08-15
127,CALN.SW,CALIDA Holding AG,100642277,CHF,106850278.16116361,124895790.57097827,0,SIX,true,,,,2025-08-15
128,PLCE,"The Children's Place, Inc.",105740883,USD,90460267.99767,105740883,4.77,NASDAQ,true,,,,2025-08-15
129,MKS.L,Marks and Spencer Group plc,7450783308,GBp,86433556.8427848,101044011.33743796,0,LSE,true,,,,2025-08-15
130,GFG.DE,Global Fashion Group S.A.,82279857,EUR,82279857,96178630.9600346,0,XETRA,true,,,,2025-08-15
131,WOL.VI,Wolford AG,53208936,EUR,53208936,62197028.6034904,3.6,VIE,true,,,,2025-08-15
132,JD.L,JD Sports Fashion plc,4569216476,GBp,53005652.6514856,61965560.172502644,0,LSE,true,,,,2025-08-15
133,BIRD,"Allbirds, Inc.",56943888,USD,48714926.74512,56943888,6.99,NASDAQ,true,,,,2025-08-15
134,ECK.DE,LUDWIG BECK am Rathauseck - Textilhaus Feldmeier AG,48404500,EUR,48404500,56581023.74078014,13.1,XETRA,true,,,,2025-08-15
135,VRA,"Vera Bradley, Inc.",56425468,USD,48271423.61932,56425468,2.02,NASDAQ,true,,,,2025-08-15
136,CATO,The Cato Corporation,56053100,USD,47952866.519,56053100,2.84,NYSE,true,,,,2025-08-15
137,BRBY.L,Burberry Group plc,4008947310,GBp,46506194.164386004,54367453.82299493,0,LSE,true,,,,2025-08-15
138,AEF.MI,Aeffe S.p.A.,45767384,EUR,45767384,53498444.16650107,0.465,MIL,true,,,,2025-08-15
139,PPH.JO,Pepkor Holdings Limited,87052220545,ZAc,42370370.17165636,49524234.603823915,0,JNB,true,,,,2025-08-15
140,FRAS.L,Frasers Group plc,3028339208,GBp,35130551.8163248,41068908.94789661,0,LSE,true,,,,2025-08-15
141,0330.HK,Esprit Holdings Limited,280269000,HKD,30664231.29,35839888.082270786,0,HKSE,true,,,,2025-08-15
142,RENT,"Rent the Runway, Inc.",18326044,USD,15677747.38156,18326044,4.74,NASDAQ,true,,,,2025-08-15
143,LITB,"LightInTheBox Holding Co., Ltd.",10849547,USD,9281678.96303,10849547,1.18,NYSE,true,,,,2025-08-15
144,WOSG.L,Watches of Switzerland Group plc,776252076,GBp,9004989.8328456,10527164.772573164,0,LSE,true,,,,2025-08-15
145,PMNT,Perfect Moment Ltd. Common Stock,9117631,USD,7800042.144189999,9117631,0.2904,NASDAQ,true,,,,2025-08-15
146,ASC.L,ASOS Plc,368981907,GBp,4280411.5103442,5003958.705145244,0,LSE,true,,,,2025-08-15
147,BOO.L,Boohoo Group Plc,364674412,GBp,4230441.983847201,4945542.488269278,26.1,LSE,true,,,,2025-08-15
148,MGOL,MGO Global Inc. Common Stock,3411030,USD,2918102.0546999997,3411030,0.37,NASDAQ,true,,,,2025-08-15
149,EXPR,"Express, Inc.",3109396,USD,2660057.1840399997,3109396,0.83,NYSE,true,,,,2025-08-15
150,MUL.L,Mulberry Group plc,71563784,GBp,830182.8326704,970514.3074127315,102,LSE,true,,,,2025-08-15
151,SDRY.L,Superdry plc,3270419,GBp,37938.8226514,44351.880984024516,3.295,LSE,true,,,,2025-08-15
152,GWI2.DE,GERRY WEBER International AG,24918,EUR,24918,29127.166886813404,0.02,XETRA,true,,,,2025-08-15
