Rank,Ticker,Name,Market Cap (Original),Original Currency,Market Cap (EUR),Market Cap (USD),Price,Exchange,Active,Description,Homepage URL,Employees,Date
19,BURL,"Burlington Stores, Inc.",17234379840,USD,14743839609.3216,17234379840,0,NYSE,true,,,,2025-08-01
20,1929.HK,Chow Tai Fook Jewellery Group Limited,131835765600,HKD,14424151114.296,16858728879.556728,0,HKSE,true,,,,2025-08-01
21,DKS,"DICK'S Sporting Goods, Inc.",16405338570,USD,14034603093.2493,16405338570,0,NYSE,true,,,,2025-08-01
22,ONON,On Holding AG,15937944402,USD,13634752056.46698,15937944402,0,NYSE,true,,,,2025-08-01
23,DECK,Deckers Outdoor Corporation,15434702400,USD,13204233556.175999,15434702400,0,NYSE,true,,,,2025-08-01
24,MONC.MI,Moncler S.p.A.,12664381579,EUR,12664381579,14803658229.786438,0,MIL,true,,,,2025-08-01
25,1913.HK,Prada S.p.A.,103888254400,HKD,11366413913.904,13284892052.843786,0,HKSE,true,,,,2025-08-01
26,DOCS,"Doximity, Inc.",10798793460,USD,9238259817.0954,10798793460,0,NYSE,true,,,,2025-08-01
27,SKX,"Skechers U.S.A., Inc.",9412893000,USD,8052635832.57,9412893000,0,NYSE,true,,,,2025-08-01
28,BIRK,Birkenstock Holding plc,9229917060,USD,7896101745.6594,9229917060,0,NYSE,true,,,,2025-08-01
29,GPS,"The Gap, Inc.",9207895046,USD,7877262132.90254,9207895046,24.55,NYSE,true,,,,2025-08-01
30,UHR.SW,The Swatch Group AG,7251894556,CHF,7699219190.996922,8999509259.006466,138.65,SIX,true,,,,2025-08-01
31,LPP.WA,Lpp S.A.,30026250150,PLN,7046860647.703501,8244960596.083772,0,WSE,true,,,,2025-08-01
32,GIL.TO,Gildan Activewear Inc.,10714781250,CAD,6647257756.326345,7769851960.087599,0,TSX,true,,,,2025-08-01
33,VIPS,Vipshop Holdings Limited,7762774320,USD,6640975803.0168,7762774320,0,NYSE,true,,,,2025-08-01
34,BC.MI,Brunello Cucinelli S.p.A.,6617665015,EUR,6617665015,7735525856.526669,0,MIL,true,,,,2025-08-01
35,LEVI,Levi Strauss & Co.,7626965032,USD,6524792315.225679,7626965032,0,NYSE,true,,,,2025-08-01
36,DDS,"Dillard's, Inc.",7403090000,USD,6333269464.099999,7403090000,0,NYSE,true,,,,2025-08-01
37,ZAL.DE,Zalando SE,6177600000,EUR,6177600000,7221124735.531683,0,XETRA,true,,,,2025-08-01
38,GAP,"The Gap, Inc.",7065000000,USD,6044036850,7065000000,0,NYSE,true,,,,2025-08-01
39,URBN,"Urban Outfitters, Inc.",6992419919,USD,5981945316.50531,6992419919,0,NASDAQ,true,,,,2025-08-01
40,3998.HK,Bosideng International Holdings Limited,48735700563,HKD,5332172998.59783,6232162864.208961,0,HKSE,true,,,,2025-08-01
41,ATZ.TO,Aritzia Inc.,8442997217,CAD,5237883763.361478,6122461760.525591,0,TSX,true,,,,2025-08-01
42,BBWI,"Bath & Body Works, Inc.",6028380000,USD,5157218806.2,6028380000,0,NYSE,true,,,,2025-08-01
43,CROX,"Crocs, Inc.",5449964300,USD,4662389959.007,5449964300,0,NASDAQ,true,,,,2025-08-01
44,2331.HK,Li Ning Company Limited,42136194320,HKD,4610121020.5512,5388239472.227089,0,HKSE,true,,,,2025-08-01
45,BOOT,"Boot Barn Holdings, Inc.",5228550440,USD,4472972615.9156,5228550440,0,NYSE,true,,,,2025-08-01
46,ANF,Abercrombie & Fitch Co.,4557118097,USD,3898568960.80253,4557118097,0,NYSE,true,,,,2025-08-01
47,VFC,V.F. Corporation,4537512320,USD,3881796414.6368,4537512320,0,NYSE,true,,,,2025-08-01
48,JWN,"Nordstrom, Inc.",4124015297,USD,3528053846.43053,4124015297,24.66,NYSE,true,,,,2025-08-01
49,PVH,PVH Corp.,3646496000,USD,3119540863.04,3646496000,0,NYSE,true,,,,2025-08-01
50,M,"Macy's, Inc.",3431136000,USD,2935302536.64,3431136000,0,NYSE,true,,,,2025-08-01
51,600612.SS,"Lao Feng Xiang Co., Ltd.",24581486239,CNY,2929715655.868612,3424511533.5534477,0,SHH,true,,,,2025-08-01
52,BOSS.DE,Hugo Boss AG,2811028481,EUR,2811028481,3285869479.479596,0,XETRA,true,,,,2025-08-01
53,LREN3.SA,Lojas Renner S.A.,17171795539,BRL,2715037162.0788336,3173614907.0377765,0,SAO,true,,,,2025-08-01
54,PUM.DE,PUMA Se,2709864000,EUR,2709864000,3167616219.944125,0,XETRA,true,,,,2025-08-01
55,KTB,"Kontoor Brands, Inc.",3035114650,USD,2596510231.9284997,3035114650,0,NYSE,true,,,,2025-08-01
56,UNF,UniFirst Corporation,3031695288,USD,2593585001.93112,3031695288,0,NYSE,true,,,,2025-08-01
57,COLM,Columbia Sportswear Company,2723972900,USD,2330331576.2209997,2723972900,0,NASDAQ,true,,,,2025-08-01
58,UA,"Under Armour, Inc.",2672495360,USD,2286293055.5264,2672495360,0,NYSE,true,,,,2025-08-01
59,BKE,"The Buckle, Inc.",2471296770,USD,2114169673.7673,2471296770,0,NYSE,true,,,,2025-08-01
60,6110.HK,Topsports International Holdings Limited,18541868509,HKD,2028665833.56969,2371073833.3484654,0,HKSE,true,,,,2025-08-01
61,FL,"Foot Locker, Inc.",2349145000,USD,2009670056.05,2349145000,0,NYSE,true,,,,2025-08-01
62,ZGN,Ermenegildo Zegna N.V.,2019037750,USD,1727266604.7475,2019037750,0,NYSE,true,,,,2025-08-01
63,CPRI,Capri Holdings Limited,2009169439,USD,1718824363.37011,2009169439,0,NYSE,true,,,,2025-08-01
64,002563.SZ,"Zhejiang Semir Garment Co., Ltd.",14335796677,CNY,1708595141.709573,1997157559.3820093,0,SHZ,true,,,,2025-08-01
65,AEO,"American Eagle Outfitters, Inc.",1928345520,USD,1649680308.9048,1928345520,0,NYSE,true,,,,2025-08-01
66,SVV,"Savers Value Village, Inc.",1794642080,USD,1535298353.0191998,1794642080,0,NYSE,true,,,,2025-08-01
67,WWW,"Wolverine World Wide, Inc.",1788312000,USD,1529883032.8799999,1788312000,0,NYSE,true,,,,2025-08-01
68,SHOO,"Steven Madden, Ltd.",1665733440,USD,1425018300.5856,1665733440,0,NASDAQ,true,,,,2025-08-01
69,TOD.MI,TOD'S S.p.A.,1421696760,EUR,1421696760,1661850822.3357372,42.96,MIL,true,,,,2025-08-01
70,VSCO,Victoria's Secret & Co.,1478880000,USD,1265167051.2,1478880000,0,NYSE,true,,,,2025-08-01
71,HBI,Hanesbrands Inc.,1438614760,USD,1230720541.0324,1438614760,0,NYSE,true,,,,2025-08-01
72,RVLV,"Revolve Group, Inc.",1432958160,USD,1225881376.2984,1432958160,0,NYSE,true,,,,2025-08-01
73,YOU.DE,ABOUT YOU Holding AG,1205409079,EUR,1205409079,1409027667.1848881,0,XETRA,true,,,,2025-08-01
74,KSS,Kohl's Corporation,1191030000,USD,1018914254.6999999,1191030000,0,NYSE,true,,,,2025-08-01
75,GOOS,Canada Goose Holdings Inc.,1101439640,USD,942270597.6236,1101439640,0,NYSE,true,,,,2025-08-01
76,OVS.MI,OVS S.p.A.,929147559,EUR,929147559,1086099848.0403044,0,MIL,true,,,,2025-08-01
77,MYTE,MYT Netherlands Parent B.V.,1041897337,USD,891332752.83013,1041897337,7.64,NYSE,true,,,,2025-08-01
78,TDUP,ThredUp Inc.,1018729250,USD,871512686.0825,1018729250,0,NASDAQ,true,,,,2025-08-01
79,GIII,"G-III Apparel Group, Ltd.",1017141000,USD,870153954.0899999,1017141000,0,NASDAQ,true,,,,2025-08-01
80,FIGS,"FIGS, Inc.",1008913785,USD,863115653.92965,1008913785,0,NYSE,true,,,,2025-08-01
81,SFER.MI,Salvatore Ferragamo S.p.A.,813040649,EUR,813040649,950380073.4082221,0,MIL,true,,,,2025-08-01
82,ARVIND.NS,Arvind Limited,82563973050,INR,807196590.200091,943782412.953522,0,NSE,true,,,,2025-08-01
83,CHS,"Chico's FAS, Inc.",937038630,USD,801627177.5787,937038630,7.59,NYSE,true,,,,2025-08-01
84,SOMA3.SA,Grupo de Moda SOMA S.A.,4614312360,BRL,729570155.106171,852796695.4978931,5.88,SAO,true,,,,2025-08-01
85,GRND3.SA,Grendene S.A.,4535475826,BRL,717105289.7370626,838226477.7851704,0,SAO,true,,,,2025-08-01
86,CRI,"Carter's, Inc.",834871748,USD,714224431.69652,834871748,0,NYSE,true,,,,2025-08-01
87,FOI-B.ST,Fenix Outdoor International AG,6720500000,SEK,601417679.41,703042209.731598,0,STO,true,,,,2025-08-01
88,3612.T,"World Co., Ltd.",97733556800,JPY,568919739.495184,665026039.3843306,0,JPX,true,,,,2025-08-01
89,DLTI.TA,Delta Israel Brands Ltd,2210452314,ILA,560526497.7841201,654737377.8542634,8834,TLV,true,,,,2025-08-01
90,002269.SZ,"Shanghai Metersbonwe Fashion and Accessories Co., Ltd.",4615808468,CNY,550129727.7841343,643040424.0676503,0,SHZ,true,,,,2025-08-01
91,GES,"Guess', Inc.",640132500,USD,547626952.425,640132500,0,NYSE,true,,,,2025-08-01
92,MEKKO.HE,Marimekko Oyj,524993657,EUR,524993657,613675971.6653613,0,HEL,true,,,,2025-08-01
93,BOOZT.ST,Boozt AB (publ),5582426250,SEK,499571436.761025,583986501.9661748,0,STO,true,,,,2025-08-01
94,REAL,"The RealReal, Inc.",578304671,USD,494733862.99379,578304671,0,NASDAQ,true,,,,2025-08-01
95,SFL.MI,Safilo Group S.p.A.,491951961,EUR,491951961,575052848.075372,0,MIL,true,,,,2025-08-01
96,8016.T,"Onward Holdings Co., Ltd.",84023813942,JPY,489113544.0521945,571738367.3466611,0,JPX,true,,,,2025-08-01
97,OXM,"Oxford Industries, Inc.",562757340,USD,481433276.7966,562757340,0,NYSE,true,,,,2025-08-01
98,ALPA4.SA,Alpargatas S.A.,2933372076,BRL,463796239.5054311,542132785.5400311,0,SAO,true,,,,2025-08-01
99,LINDEX.HE,Lindex Group Oyj,446389207,EUR,446389207,521793600.1589732,0,HEL,true,,,,2025-08-01
100,RVRC.ST,RVRC Holding AB (publ),4852939174,SEK,434289623.7400435,507673696.9841524,0,STO,true,,,,2025-08-01
101,VAN.BR,Van de Velde N.V.,422536538,EUR,422536538,493911720.7682147,0,BRU,true,,,,2025-08-01
102,LUXIND.NS,Lux Industries Limited,41034330000,INR,401177051.3646,469060263.8257013,0,NSE,true,,,,2025-08-01
103,SMCP.PA,SMCP S.a.,385533915,EUR,385533915,450658587.47618324,0,PAR,true,,,,2025-08-01
104,CAL,"Caleres, Inc.",428327910,USD,366430243.7259,428327910,0,NYSE,true,,,,2025-08-01
105,7606.T,United Arrows Ltd.,61456118094,JPY,357744052.7205262,418176930.73039293,0,JPX,true,,,,2025-08-01
106,MAVI.IS,Mavi Giyim Sanayi ve Ticaret A.S.,16668861760,TRY,348491225.5350272,407643327.1053636,0,IST,true,,,,2025-08-01
107,4012.SR,Thob Al Aseel Company,1468000000,SAR,334733360,391247568.0285707,3.67,SAU,true,,,,2025-08-01
108,0709.HK,Giordano International Limited,2375776541,HKD,259933711.35081,303806576.3174822,0,HKSE,true,,,,2025-08-01
109,2368.HK,Eagle Nice (International) Holdings Limited,2230819458,HKD,244073956.89977998,285269936.0488387,0,HKSE,true,,,,2025-08-01
110,LANV,Lanvin Group Holdings Limited,273355600,USD,233852982.244,273355600,0,NYSE,true,,,,2025-08-01
111,WEYS,"Weyco Group, Inc.",272118000,USD,232794227.82,272118000,0,NASDAQ,true,,,,2025-08-01
112,CURV,Torrid Holdings Inc.,262287500,USD,224384333.375,262287500,0,NYSE,true,,,,2025-08-01
113,GCO,Genesco Inc.,248101800,USD,212248608.882,248101800,0,NYSE,true,,,,2025-08-01
114,DOLLAR.NS,Dollar Industries Limited,21526638498,INR,210457764.47231674,246069345.6711095,0,NSE,true,,,,2025-08-01
115,ZUMZ,Zumiez Inc.,240580480,USD,205814194.83519998,240580480,0,NASDAQ,true,,,,2025-08-01
116,NXT.L,NEXT plc,14682833533,GBp,170329678.68291983,199121667.70186338,0,LSE,true,,,,2025-08-01
117,NXT.MC,"Nueva Expresión Textil, S.A.",161187167,EUR,161187167,188415021.8003717,0,BME,true,,,,2025-08-01
118,RCKY,"Rocky Brands, Inc.",187121880,USD,160080897.1212,187121880,0,NASDAQ,true,,,,2025-08-01
119,JILL,"J.Jill, Inc.",178334347,USD,152563250.51503,178334347,0,NYSE,true,,,,2025-08-01
120,BORG.ST,Björn Borg AB (publ),1446032080,SEK,129405439.7598416,151271719.197378,0,STO,true,,,,2025-08-01
121,SGC,"Superior Group of Companies, Inc.",148976705,USD,127448081.36045,148976705,0,NASDAQ,true,,,,2025-08-01
122,MONTECARLO.NS,Monte Carlo Fashions Limited,12036521089,INR,117676492.80913918,137588544.946389,0,NSE,true,,,,2025-08-01
123,DBI,Designer Brands Inc.,123502080,USD,105654794.4192,123502080,0,NYSE,true,,,,2025-08-01
124,CALN.SW,CALIDA Holding AG,96162654,CHF,102094334.85508016,119336635.18695474,13.76,SIX,true,,,,2025-08-01
125,ABFRL.NS,Aditya Birla Fashion and Retail Limited,9075677800,INR,88729453.093036,103743373.49397591,0,NSE,true,,,,2025-08-01
126,PLCE,"The Children's Place, Inc.",98195660,USD,84005405.1734,98195660,0,NASDAQ,true,,,,2025-08-01
127,MKS.L,Marks and Spencer Group plc,7220846904,GBp,83766156.59454241,97925722.20564702,0,LSE,true,,,,2025-08-01
128,GFG.DE,Global Fashion Group S.A.,80945589,EUR,80945589,94618977.4281406,0,XETRA,true,,,,2025-08-01
129,GEO.MI,Geox S.p.A.,74957254,EUR,74957254,87619088.47561046,0,MIL,true,,,,2025-08-01
130,FOSL,"Fossil Group, Inc.",83460690,USD,71399785.6881,83460690,0,NASDAQ,true,,,,2025-08-01
131,BIRD,"Allbirds, Inc.",76190123,USD,65179888.32527,76190123,0,NASDAQ,true,,,,2025-08-01
132,BRBY.L,Burberry Group plc,4593920880,GBp,53292238.560528,62300589.655265935,0,LSE,true,,,,2025-08-01
133,JD.L,JD Sports Fashion plc,4336069770,GBp,50301010.97386201,58803734.43814587,0,LSE,true,,,,2025-08-01
134,ECK.DE,LUDWIG BECK am Rathauseck - Textilhaus Feldmeier AG,48840000,EUR,48840000,57090088.72108382,0,XETRA,true,,,,2025-08-01
135,VRA,"Vera Bradley, Inc.",53879620,USD,46093476.1138,53879620,0,NASDAQ,true,,,,2025-08-01
136,CATO,The Cato Corporation,52130695,USD,44597288.265549995,52130695,0,NYSE,true,,,,2025-08-01
137,PPH.JO,Pepkor Holdings Limited,90753706537,ZAc,44171970.759032175,51630019.608536296,0,JNB,true,,,,2025-08-01
138,AEF.MI,Aeffe S.p.A.,42716450,EUR,42716450,49932144.151305094,0,MIL,true,,,,2025-08-01
139,WOL.VI,Wolford AG,34171620,EUR,34171620,39943915.18311143,0,VIE,true,,,,2025-08-01
140,FRAS.L,Frasers Group plc,2935259447,GBp,34050770.7408682,39806605.101847075,0,LSE,true,,,,2025-08-01
141,0330.HK,Esprit Holdings Limited,280269000,HKD,30664231.29,35839888.082270786,0,HKSE,true,,,,2025-08-01
142,RENT,"Rent the Runway, Inc.",18168860,USD,15543278.041399999,18168860,0,NASDAQ,true,,,,2025-08-01
143,LITB,"LightInTheBox Holding Co., Ltd.",11309910,USD,9675514.9059,11309910,0,NYSE,true,,,,2025-08-01
144,WOSG.L,Watches of Switzerland Group plc,772940824,GBp,8966577.322894402,10482259.133689549,0,LSE,true,,,,2025-08-01
145,BOO.L,Boohoo Group Plc,364674412,GBp,4230441.983847201,4945542.488269278,26.1,LSE,true,,,,2025-08-01
146,ASC.L,ASOS Plc,364213159,GBp,4225091.1722954,4939287.192492338,0,LSE,true,,,,2025-08-01
147,PMNT,Perfect Moment Ltd. Common Stock,4610604.31,USD,3944325.8811618993,4610604.31,0,NASDAQ,true,,,,2025-08-01
148,MGOL,MGO Global Inc. Common Stock,3411030,USD,2918102.0546999997,3411030,0.37,NASDAQ,true,,,,2025-08-01
149,EXPR,"Express, Inc.",3109396,USD,2660057.1840399997,3109396,0.83,NYSE,true,,,,2025-08-01
150,MUL.L,Mulberry Group plc,55222500,GBp,640614.1335,748901.5161789036,0,LSE,true,,,,2025-08-01
151,SDRY.L,Superdry plc,3270419,GBp,37938.8226514,44351.880984024516,3.295,LSE,true,,,,2025-08-01
152,GWI2.DE,GERRY WEBER International AG,24918,EUR,24918,29127.166886813404,0.02,XETRA,true,,,,2025-08-01
