Ticker,Name,Market Cap (Original),Original Currency,Market Cap (EUR),Market Cap (USD),Exchange,Price,Active,Description,Homepage URL
TPR,"Tapestry, Inc.",14828080680,$,14043971773.6416,14828080680,,,true,"Tapestry, Inc. provides luxury accessories and branded lifestyle products in the United States, Japan, Greater China, and internationally. The company operates in three segments: Coach, Kate Spade, and Stuart Weitzman. It offers women's accessories, including handbags, such as wallets, money pieces, wristlets, and cosmetic cases; novelty accessories comprising address books, time management and travel accessories, sketchbooks, and portfolios; and key rings and charms. The company also provides bag collections, including business cases, computer bags, messenger-style bags, backpacks, and totes; small leather goods, such as wallets, card cases, travel organizers, and belts; and footwear, watches, fragrances, sunglasses, novelty accessories, and ready-to-wear for men. In addition, it offers women's footwear; sunglasses; bracelets, necklaces, rings, and earrings; fragrances and watches; women's seasonal lifestyle apparel collections, including outerwear and ready-to-wear, and cold weather accessories, which comprise gloves, scarves, and hats. Further, the company provides footwear items; and housewares and home accessories for kids, such as fashion bedding and tableware; and stationery and gifts. Additionally, it licenses rights to market and distribute its tech and soft accessories, jewelry, watches, eyewear, and fragrances under the Coach brand; and tableware and housewares, fashion beddings, tech accessories, watches, sleepwear, eyewear, stationery and gifts, and fragrances under the Kate Spade brand. As of July 2, 2022, the company operated through a network of 945 Coach stores, 398 Kate Spade stores, and 100 Stuart Weitzman stores. It sells its products through e-commerce sites and concession shop-in-shops, and wholesale customers, as well as through independent third-party distributors. The company was formerly known as Coach, Inc. and changed its name to Tapestry, Inc. in October 2017. Tapestry, Inc. was founded in 1941 and is headquartered in New York, New York.",https://www.tapestry.com
RL,Ralph Lauren Corporation,14580118436,$,13809121773.104319,14580118436,,,true,"Ralph Lauren Corporation designs, markets, and distributes lifestyle products in North America, Europe, Asia, and internationally. The company offers apparel, including a range of men's, women's, and children's clothing; footwear and accessories, which comprise casual shoes, dress shoes, boots, sneakers, sandals, eyewear, watches, fashion and fine jewelry, scarves, hats, gloves, and umbrellas, as well as leather goods, such as handbags, luggage, small leather goods, and belts; home products consisting of bed and bath lines, furniture, fabric and wallcoverings, lighting, tabletop, kitchen linens, floor coverings, and giftware; and fragrances. It sells apparel and accessories under the Ralph Lauren Collection, Ralph Lauren Purple Label, Polo Ralph Lauren, Double RL, Lauren Ralph Lauren, Polo Golf Ralph Lauren, Ralph Lauren Golf, RLX Ralph Lauren, Polo Ralph Lauren Children, and Chaps brands; women's fragrances under the Ralph Lauren Collection, Woman by Ralph Lauren, Romance Collection, and Ralph Collection brand names; and men's fragrances under the Polo Blue, Ralph's Club, Safari, Purple Label, Polo Red, Polo Green, Polo Black, Polo Sport, and Big Pony Men's brand names. The company's restaurant collection includes The Polo Bar in New York City; RL Restaurant in Chicago; Ralph's in Paris; The Bar at Ralph Lauren located in Milan; and Ralph's Coffee concept. It sells its products to department stores, specialty stores, and golf and pro shops, as well as directly to consumers through its retail stores, concession-based shop-within-shops, and its digital commerce sites. The company directly operates 504 retail stores and 684 concession-based shop-within-shops; and operates 175 Ralph Lauren stores, 329 factory stores, and 148 stores and shops through licensing partners. Ralph Lauren Corporation was founded in 1967 and is headquartered in New York, New York.",https://www.ralphlauren.com
MONC.MI,Moncler S.p.A.,12872750729,€,12872750729,13590406582.14175,,,true,"Moncler S.p.A., together with its subsidiaries, designs, produces, and distributes clothing and related accessories for men, women, and children under the Moncler and Stone Island brand names. Its product portfolio includes footwear products; leather goods, such as bags, backpacks, and accessories; and sunglasses, eyeglasses, frames, and men's and women's ski goggles under the Moncler Lunettes brand. The company also offers perfume for men and women. As of December 31, 2021, it operated 237 retail directly operated stores and 64 wholesale shop-in-shops. The company also sells its products through moncler.com, an online store. It serves in Italy, other European countries, Japan, the rest of Asia, and the Americas. The company was formerly known as Moncler S.r.l. and changed its name to Moncler S.p.A. in October 2013. Moncler S.p.A. was founded in 1952 and is headquartered in Milan, Italy.",https://www.monclergroup.com
SKX,"Skechers U.S.A., Inc.",10733378086,$,10165797052.812319,10733378086,,,true,"Skechers U.S.A., Inc. designs, develops, markets, and distributes footwear for men, women, and children; and performance footwear for men and women worldwide. The company operates through three segments: Domestic Wholesale, International Wholesale, and Direct-to-Consumer. It offers casual, casual athletic, sport athletic, trail, sandals, boots, and retro fashion footwear for men and women under the Skechers USA, Skechers Sport, Skechers Active, Modern Comfort, Skechers Street, Mark Nason, and BOBS brands; sneakers, casuals, boots, and sandals for boys and girls under the Skechers Mega-Craft, S-Lights, SKECH-AIR, Foamies, Twinkle Toes, Z-Strap, Skechers Stretch Fit, and Skechers Street brands; and technical footwear under the Skechers GOrun, Skechers GOwalk, Skechers GOtrain, Skechers GOtrail, and Skechers GO Golf brands. The company also provides men's and women's slip-resistant and safety-toe casuals, boots, hikers, and athletic shoes; and lifestyle apparel for men, women, and kids. As of December 31, 2021, it operated 4,306 company and third party owned Skechers stores. The company sells its products through department and specialty stores, athletic and independent retailers, boutiques, and online retailers; and through its e-commerce sites, concept stores, and factory and warehouse outlet stores. It also licenses its Skechers brand. Skechers U.S.A., Inc. was incorporated in 1992 and is headquartered in Manhattan Beach, California.",https://www.skechers.com
ZAL.DE,Zalando SE,8793906618,€,8793906618,9284166911.953499,,,true,"Zalando SE operates an online platform for fashion and lifestyle products. It provides clothing, footwear, accessories, and beauty products with free delivery and returns. The company also sells its products through its Zalando Lounge; and brick-and-mortar outlet stores in Berlin, Frankfurt, Cologne, Leipzig, Hamburg, Hanover, Münster, Stuttgart, Mannheim, and Ulm. It serves customers in 23 countries, including Austria, Belgium, Croatia, Czechia, Denmark, Estonia, Finland, France, Germany, Ireland, Italy, Latvia, Lithuania, Luxembourg, the Netherlands, Norway, Poland, Slovakia, Slovenia, Spain, Sweden, Switzerland, and the United Kingdom. The company was founded in 2008 and is headquartered in Berlin, Germany.",https://corporate.zalando.de
UHR.SW,The Swatch Group AG,8115842739,CHF,8723557043.29632,9209452548.08025,,,true,"The Swatch Group AG designs, manufactures, and sells finished watches, jewelry, and watch movements and components worldwide. It operates through Watches & Jewelry and Electronic Systems segments. The Watches & Jewelry segment designs, produces, and commercializes watches and jewelry. The Electronic Systems segment is involved in the design, production, and commercialization of electronic components, as well as sports timing activities. It is also involved in the provision of assembly, research and development, administration, watch case polishing, logistics and distribution, and customer services; and hard material products, microelectronics, watch cases and crowns, miniature low-frequency quartz crystals, thin wires, miniature batteries, watch dials and bracelets, watch hands, sports timing technology and equipment, precision parts, and assembly electronic components. In addition, the company engages in retail, communication, real estate project and property management, finance, reinsurance, and art center businesses. It offers its watch and jewelry products primarily under the Breguet, Harry Winston, Blancpain, Glashütte Original, Jaquet Droz, Léon Hatot, Omega, Longines, Rado, Union Glashütte, Tissot, Balmain, Certina, Mido, Hamilton, Calvin Klein, Swatch, and Flik Flak brands. The Swatch Group AG was founded in 1983 and is headquartered in Biel/Bienne, Switzerland.",https://www.swatchgroup.com
GPS,"The Gap, Inc.",9207895046,$,8720981555.96752,9207895046,,,false,"The Gap, Inc. operates as an apparel retail company. The company offers apparel, accessories, and personal care products for men, women, and children under the Old Navy, Gap, Banana Republic, and Athleta brands. Its products include denim, tees, fleece, and khakis; eyewear, jewelry, shoes, handbags, and fragrances; and fitness and lifestyle products for use in yoga, training, sports, travel, and everyday activities for women and girls. The company offers its products through company-operated stores, franchise stores, Websites, third-party arrangements, and catalogs. It has franchise agreements with unaffiliated franchisees to operate Old Navy, Gap, Athleta, and Banana Republic stores and websites in Asia, Europe, Latin America, the Middle East, and Africa. As of December 31, 2021, the company had 2,835 company-operated stores and 564 franchise stores. It also provides its products through e-commerce sites. The Gap, Inc. was incorporated in 1969 and is headquartered in San Francisco, California.",https://www.gapinc.com
1929.HK,Chow Tai Fook Jewellery Group Limited,69814302600,HKD,8496400626.42,8971137884.1,,,true,"Chow Tai Fook Jewellery Group Limited, an investment holding company, manufactures and sells jewelry products. The company offers gem-set, platinum and k-gold jewelry, and k-gold jewelry and products under the CHOW TAI FOOK, HEARTS ON FIRE, T MARK, ENZO, MONOLOGUE, and SOINLOVE brands. It also distributes watches of various brands. In addition, the company is involved in the trading of diamonds; and the provision of services to franchisees. The company also sells its products through online platforms. As of March 31, 2022, it had 5,902 points of sale in Mainland China, Hong Kong, Macau, Taiwan, Cambodia, Korea, Japan, Malaysia, the Philippines, Singapore, Thailand, the United States, and Vietnam. The company was founded in 1929 and is headquartered in Central, Hong Kong. Chow Tai Fook Jewellery Group Limited is a subsidiary of Chow Tai Fook Capital Limited.",https://www.ctfjewellerygroup.com
BBWI,"Bath & Body Works, Inc.",8085006060,$,7657470939.547199,8085006060,,,true,"Bath & Body Works, Inc. operates a specialty retailer of home fragrance, body care, and soaps and sanitizer products. The company sells its products under the Bath & Body Works, White Barn, and other brand names through specialty retail stores and websites located in the United States and Canada, as well as through international stores operated by partners under franchise, license, and wholesale arrangements. As of January 29, 2022, it operated 1,755 company-operated retail stores and 338 international partner-operated stores. The company was formerly known as L Brands, Inc. and changed its name to Bath & Body Works, Inc. in August 2021. Bath & Body Works, Inc. was founded in 1963 and is headquartered in Columbus, Ohio.",https://www.bbwinc.com
VFC,V.F. Corporation,7951840575,$,7531347245.394,7951840575,,,true,"V.F. Corporation, together with its subsidiaries, engages in the design, procurement, marketing, and distribution of branded lifestyle apparel, footwear, and related products for men, women, and children in the Americas, Europe, and the Asia-Pacific. It operates through three segments: Outdoor, Active, and Work. The company offers outdoor, merino wool and other natural fibers-based, lifestyle, and casual apparel; footwear; equipment; accessories; outdoor-inspired, performance-based, youth culture/action sports-inspired, streetwear, and protective work footwear; handbags, luggage, backpacks, and totes; and work and work-inspired lifestyle apparel and footwear. It provides its products under the North Face, Timberland, Smartwool, Icebreaker, Altra, Vans, Supreme, Kipling, Napapijri, Eastpak, JanSport, Dickies, and Timberland PRO brand names. The company sells its products primarily to specialty stores, department stores, national chains, and mass merchants, as well as sells through direct-to-consumer operations, including retail stores, concession retail stores, and e-commerce sites, and other digital platforms. V.F. Corporation was founded in 1899 and is headquartered in Denver, Colorado.",https://www.vfc.com
GIL.TO,Gildan Activewear Inc.,10639675800,CAD,7177844484.9539995,7579066659.372,,,true,"Gildan Activewear Inc. manufactures and sells various apparel products in the United States, North America, Europe, Asia-Pacific, and Latin America. It provides various activewear products, including T-shirts, fleece tops and bottoms, and sports shirts under the Gildan, Gildan Performance, Gildan Hammer, Comfort Colors, American Apparel, Alstyle, and GoldToe brands. The company also offers hosiery products comprising athletic; dress; and casual, liner, therapeutic, and workwear socks, as well as sheer pantyhose, tights, and leggings under the Gildan, Under Armour, GoldToe, PowerSox, Signature Gold by Goldtoe, Peds, MediPeds, Therapy Plus, All Pro, Secret, Silks, Secret Silky, and American Apparel brands. In addition, it provides men's and boys' underwear products, and ladies panties under the Gildan and Gildan Platinum brands; and ladies' shapewear, intimates, and accessories under the Secret and Secret Silky brands. The company sells its products to wholesale distributors, screen printers, and embellishers, as well as to retailers and lifestyle brand companies. The company was formerly known as Textiles Gildan Inc. and changed its name to Gildan Activewear Inc. in March 1995. Gildan Activewear Inc. was founded in 1946 and is headquartered in Montreal, Canada.",https://gildancorp.com
VIPS,Vipshop Holdings Limited,7209081191,$,6827864977.61992,7209081191,,,true,"Vipshop Holdings Limited operates online platforms for various brands in the People's Republic of China. It operates in Vip.com, Shan Shan Outlets, and Others segments. The company offers women's apparel, such as casual wear, jeans, dresses, outerwear, lingerie, pajamas, and maternity clothes; men's apparel comprising casual and smart-casual T-shirts, polo shirts, jackets, pants, and underwear; and skin care and cosmetic products, including cleansers, lotions, face and body creams, face masks, sunscreen, foundations, lipsticks, eye shadows, and other cosmetics-related items. It also provides shoes and bags, which comprises casual and formal shoes, purses, satchels, luggage, duffel bags, and wallets; handbags; apparel, gears and accessories, furnishings and decor, toys, and games for boys, girls, infants, and toddlers; sportswear, sports gear, and footwear for various sporting activities; home furnishings, such as bed and bath products, home decor, kitchen and tabletop items, and home appliances; and consumer electronic products. In addition, the company offers food and snacks, beverages, fresh produce, and pet goods; beauty products; and internet finance services, including consumer and supplier financing, and microcredit. Vipshop Holdings Limited provides its branded products through its vip.com and vipshop.com online platforms, as well as through its internet website and cellular phone application. Further, it offers warehousing, logistics, product procurement, research and development, technology development, and consulting services; software development and information technology support solutions; and supply chain services. Vipshop Holdings Limited was founded in 2008 and is headquartered in Guangzhou, the People's Republic of China.",https://www.vip.com
PUM.DE,PUMA SE,6780109514,€,6780109514,7158100619.405499,,,true,"PUMA SE, together with its subsidiaries, designs, develops, sells, and markets footwear, apparel, and accessories for men, women, and kids in Europe, the Middle East, Africa, the Americas, Greater China, and the Asia Pacific. The company offers performance and sport-inspired lifestyle products in categories, such as football, cricket, handball, rugby, volleyball, running, training and fitness, golf, and motorsports. It also issues licenses to independent partners to design, develop, manufacture, and sell watches, glasses, safety shoes, and gaming accessories, such as the Playseat. The company sells its products through PUMA retail stores and factory outlets, as well as through online stores. It offers its products primarily under the PUMA and Cobra Golf brand names. The company was founded in 1924 and is headquartered in Herzogenaurach, Germany.",https://www.puma.com
